ID;id_sito_sigla;tipo_att;litotipo;foto_aff;campionamento;tipo campionamento;tipo analisi;data ultima analisi;paragenesi;note analisi;ind1;ind2;ind3;ind4;ind5;ind6;punteggio
5;to_ceres_001;miniera;serpentiniti;;1;solido e aerodisperso;Microscopia Ottica DC;26/09/2005;tremolite, actinolite;"rif. Campionamento solido: 1431/01, 1372/CRA/99; rif. Campionamento aerodisperso:1197/05 (no amianto)";3;5;2;5;5;1;115
6;to_monastero di lanzo-pessinetto_001;miniera;serpentiniti;;;solido e aerodisperso;Microscopia Ottica CF;05/09/2005;tremolite, actinolite;"rif. Campionamento solido 1201/05, 1202/05; rif. Campionamento aerodisperso 1198/05 (no amianto)";10;2;2;5;2;1;110
7;to_rubiana_001;affioramento;serpentiniti;;;solido e aerodisperso;Microscopia Ottica DC;05/03/2005;tremolite, actinolite;"rif. Campionamento solido 510/05, 511/05, 512/05 (no amianto); rif. Campionamento aerodisperso 655/05, 656/05 (no amianto)";3;5;2;5;5;10;160
8;to_sant'ambrogio_001;affioramento;serpentiniti;;;solido e aerodisperso;Microscopia Elettronica SEM;15/09/2005;tremolite;"rif. Campionamento solido 1148/05, 1149/05; rif. Campionamenti aerodisperso 1136/05 - 0,4 ff/l";3;5;2;1;5;10;100
9;to_piossasco_001;affioramento;serpentiniti;;;solido e aerodisperso;Microscopia Ottica DC;26/05/2005;tremolite, actinolite;"rif. Campionamento solido 644/05, 645/05, 1152/05 1165/05; rif. Campionamento aerodisperso 1171/05  (non amianto), 1172/05  - 0,2 ff/l";10;5;2;2;5;10;185
10;to_piossasco_002;cava inattiva;serpentiniti;;;solido e aerodisperso;Microscopia Elettronica SEM;26/05/2005;tremolite;"rif. Campionamento solido 643/05 - no amianto; rif. Campionamento aerodisperso 1170/05 - 0,2 ff/l";1;5;2;1;5;10;90
11;cn_casteldelfino_001;miniera;serpentiniti;;;solido e aerodisperso;Microscopia Ottica DC;19/05/2005;crisotilo,tremolite, actinolite;"rif. Campionamento solido 2131/CRA/03, 2132/CRA/03, 2133/CRA/03; Campionamento aerodisperso 618/05, 619/05 - no amianto";3;5;2;5;5;1;115
12;to_cesana_001;cava inattiva;serpentiniti;;;solido;Microscopia Ottica DC;07/12/2005;Tremolite;rif. Campionamento solido 896/05, 897/05;10;5;2;2;5;10;185
13;to_trana_001;cava inattiva;serpentiniti;;;solido e aerodisperso;Microscopia Elettronica SEM;13/12/2004;tremolite;06/2005 visita verifica stato avanzamento Recupero Ambientale. Ultimo aerodisperso spot e mensile (Scansetti) 13/12/2004: esito spot 0,2 ff/l ctl+atg - mensile trem +act+ctl. 579/LSP/90, 580/LSP/90, 104/LSP/91, 108/LSP/91;3;2;2;5;2;10;58
14;to_cesana_002;affioramento;detrito serpentinitico;;;solido;Microscopia Ottica DC;01/08/2005;tremolite, tremolite-actinolite;rif. Campionamento solido 885/05 - 892/05. Analisi di un laboratorio privato registrano un I.R. 0.08 e un quantitativo di 880 mg/kg;10;5;2;1;5;10;135
15;cn_sampeyre_001;discarica/deposito attività estrattiva;detrito serpentinitico;;;solido;Microscopia Ottica DC;19/05/2005;crisotilo /antigorite + diopside?;rif. Campionamento solido 627/05;10;2;2;2;5;10;74
16;to_cesana_003;cava inattiva;serpentiniti;;;solido;Microscopia Ottica DC;30/07/2002;tremolite;"campionamento durante sopralluogo per lavori lungo la ss 23; rif. Campionamento solido 1425/CRA/02";10;2;2;1;5;10;54
17;cn_sampeyre_002;affioramento;serpentiniti;;;solido;Microscopia Ottica DC;19/05/2005;crisotilo/antigorite fibrosa, carlosturanite, diop;rif. Campionamento solido 626/05;10;2;2;2;5;10;74
